,neighbors,chemical_shift
55,"[['C', 2.369074626198047, 0.0555249, 6, 2.55, 12], ['C', 2.7924330258751704, -0.0379572, 6, 2.55, 12], ['C', 1.3499743239584017, 0.417441, 6, 2.55, 12], ['F', 2.180296540908338, -0.165902, 9, 3.98, 19], ['F', 2.1737026939992914, -0.165902, 9, 3.98, 19], ['H', 2.527243636794772, 0.063051, 1, 2.2, 1]]",273.338
56,"[['C', 2.3652651453714113, 0.0555249, 6, 2.55, 12], ['C', 1.3528554113685847, 0.417441, 6, 2.55, 12], ['F', 2.1731472148878384, -0.165902, 9, 3.98, 19], ['F', 2.1737026939992914, -0.165902, 9, 3.98, 19]]",250.046
57,"[['C', 2.3601146097406343, -0.0261829, 6, 2.55, 12], ['C', 1.3477769867387248, 0.12342, 6, 2.55, 12], ['C', 2.35998730425447, -0.0261829, 6, 2.55, 12], ['H', 2.592333583173302, 0.0646193, 1, 2.2, 1], ['H', 2.592901244659605, 0.0646193, 1, 2.2, 1]]",295.618
58,"[['C', 2.3619145730927342, -0.0261225, 6, 2.55, 12], ['C', 1.3506007936800513, 0.123422, 6, 2.55, 12], ['C', 2.3634928002496784, -0.0261225, 6, 2.55, 12], ['H', 2.592689167790432, 0.0646201, 1, 2.2, 1], ['H', 2.5940166394277546, 0.0646201, 1, 2.2, 1]]",298.705
59,"[['C', 2.3727849066803612, 0.0565419, 6, 2.55, 12], ['C', 2.8038742615035854, -0.0294174, 6, 2.55, 12], ['C', 1.3537018195617654, 0.417478, 6, 2.55, 12], ['F', 2.1801393324070366, -0.165902, 9, 3.98, 19], ['F', 2.170240850725775, -0.165902, 9, 3.98, 19], ['H', 2.517437710915055, 0.0641373, 1, 2.2, 1]]",271.717
60,"[['C', 2.7625610390238857, -0.050004, 6, 2.55, 12], ['C', 2.3719529037124234, 0.0565419, 6, 2.55, 12], ['C', 1.3513990081392064, 0.417478, 6, 2.55, 12], ['F', 2.1801393324070366, -0.165902, 9, 3.98, 19], ['F', 2.173689396323743, -0.165902, 9, 3.98, 19], ['H', 2.444679212298574, 0.0623054, 1, 2.2, 1]]",278.659
61,"[['C', 2.367421236316982, 0.0565419, 6, 2.55, 12], ['C', 1.3553160632394363, 0.417478, 6, 2.55, 12], ['F', 2.170240850725775, -0.165902, 9, 3.98, 19], ['F', 2.173689396323743, -0.165902, 9, 3.98, 19]]",250.786
62,"[['C', 2.8273595189996303, -0.0483391, 6, 2.55, 12], ['C', 2.3663326535126954, 0.0549251, 6, 2.55, 12], ['C', 1.349291786839867, 0.417422, 6, 2.55, 12], ['F', 2.1700655053951414, -0.165903, 9, 3.98, 19], ['F', 2.181211720394735, -0.165903, 9, 3.98, 19], ['H', 2.5650760966629087, 0.0623616, 1, 2.2, 1]]",268.62
63,"[['C', 2.38143476413469, 0.0549251, 6, 2.55, 12], ['C', 1.378802850194167, 0.417422, 6, 2.55, 12], ['F', 2.1700655053951414, -0.165903, 9, 3.98, 19], ['F', 2.1759342682324854, -0.165903, 9, 3.98, 19], ['H', 2.0534254814614985, 0.1454, 1, 2.2, 1]]",243.181
64,"[['C', 2.769581603971385, -0.0483391, 6, 2.55, 12], ['C', 2.3671349743404537, 0.0549251, 6, 2.55, 12], ['C', 1.3481748807802374, 0.417422, 6, 2.55, 12], ['F', 2.181211720394735, -0.165903, 9, 3.98, 19], ['F', 2.1759342682324854, -0.165903, 9, 3.98, 19], ['H', 2.4466642749849434, 0.0623616, 1, 2.2, 1]]",277.13
65,"[['C', 2.369127013611233, 0.0565818, 6, 2.55, 12], ['C', 2.903298630904904, -0.028678, 6, 2.55, 12], ['C', 1.353196446362899, 0.417479, 6, 2.55, 12], ['F', 2.169899988462324, -0.165902, 9, 3.98, 19], ['F', 2.177934524262786, -0.165902, 9, 3.98, 19], ['H', 2.7270951225624813, 0.0641578, 1, 2.2, 1]]",261.168
66,"[['C', 2.366461181921611, 0.0565818, 6, 2.55, 12], ['C', 2.972353121153233, -0.028678, 6, 2.55, 12], ['C', 1.3536972558602796, 0.417479, 6, 2.55, 12], ['F', 2.169899988462324, -0.165902, 9, 3.98, 19], ['F', 2.1757913442309285, -0.165902, 9, 3.98, 19], ['H', 2.876028412894278, 0.0641578, 1, 2.2, 1]]",255.237
67,"[['C', 2.7366068350377506, -0.0492883, 6, 2.55, 12], ['C', 2.3748783992136366, 0.0565818, 6, 2.55, 12], ['C', 1.3499200533965148, 0.417479, 6, 2.55, 12], ['F', 2.177934524262786, -0.165902, 9, 3.98, 19], ['F', 2.1757913442309285, -0.165902, 9, 3.98, 19], ['H', 2.3941949215011533, 0.0623252, 1, 2.2, 1]]",283.844
68,"[['C', 2.3564857896819564, -0.0257898, 6, 2.55, 12], ['C', 1.3427395252532324, 0.123441, 6, 2.55, 12], ['C', 2.3554297159050432, -0.0257898, 6, 2.55, 12], ['H', 2.586926283353772, 0.06463, 1, 2.2, 1], ['H', 2.5876311460778894, 0.06463, 1, 2.2, 1]]",281.153
69,"[['C', 2.3548882267836015, -0.025634, 6, 2.55, 12], ['C', 2.350037150351186, -0.0116832, 6, 2.55, 12], ['C', 1.34127612844541, 0.124222, 6, 2.55, 12], ['H', 2.6043462411114247, 0.0646319, 1, 2.2, 1], ['H', 2.5950556852653333, 0.0654451, 1, 2.2, 1]]",279.68
70,"[['C', 2.360183218773329, 0.0555846, 6, 2.55, 12], ['C', 2.9067728059872464, -0.0500776, 6, 2.55, 12], ['C', 1.3530345576983225, 0.417442, 6, 2.55, 12], ['F', 2.1793792489032175, -0.165902, 9, 3.98, 19], ['F', 2.1702641030760454, -0.165902, 9, 3.98, 19], ['H', 2.745766165235439, 0.0623044, 1, 2.2, 1]]",258.589
71,"[['C', 2.7392048481522853, -0.0361378, 6, 2.55, 12], ['C', 2.37369860866697, 0.0555846, 6, 2.55, 12], ['C', 1.3469618032706905, 0.417442, 6, 2.55, 12], ['F', 2.1793792489032175, -0.165902, 9, 3.98, 19], ['F', 2.178069119041281, -0.165902, 9, 3.98, 19], ['H', 2.4104441839697337, 0.0631114, 1, 2.2, 1]]",284.337
72,"[['C', 2.3616418441683837, 0.0555846, 6, 2.55, 12], ['C', 2.9700518183690705, -0.0500776, 6, 2.55, 12], ['C', 1.3522927565742309, 0.417442, 6, 2.55, 12], ['F', 2.1702641030760454, -0.165902, 9, 3.98, 19], ['F', 2.178069119041281, -0.165902, 9, 3.98, 19], ['H', 2.8661450023046156, 0.0623044, 1, 2.2, 1]]",255.088
73,"[['C', 2.3727849066803612, 0.0565419, 6, 2.55, 12], ['C', 2.8038742615035854, -0.0294174, 6, 2.55, 12], ['C', 1.3537018195617654, 0.417478, 6, 2.55, 12], ['F', 2.1801393324070366, -0.165902, 9, 3.98, 19], ['F', 2.170240850725775, -0.165902, 9, 3.98, 19], ['H', 2.517437710915055, 0.0641373, 1, 2.2, 1]]",271.717
