,neighbors,chemical_shift
181,"[['C', 1.3551811935980382, 0.41743, 6, 2.55, 12]]",249.696
182,"[['C', 1.3487422673734715, 0.123532, 6, 2.55, 12]]",299.565
183,"[['C', 1.3465948290639227, 0.575247, 6, 2.55, 12]]",263.73
184,"[['C', 1.3298484995774402, 0.575247, 6, 2.55, 12]]",260.254
185,"[['C', 1.3490135557723533, 0.575247, 6, 2.55, 12]]",256.778
186,"[['C', 1.351831013534206, 0.123421, 6, 2.55, 12]]",300.06
187,"[['C', 1.3531665314639787, 0.123628, 6, 2.55, 12]]",310.607
188,"[['C', 1.3523065274600703, 0.41743, 6, 2.55, 12]]",260.202
189,"[['C', 1.3497404059578169, 0.41743, 6, 2.55, 12]]",284.676
190,"[['C', 1.353786333043742, 0.41743, 6, 2.55, 12]]",253.786
191,"[['C', 1.3463589045567765, 0.123441, 6, 2.55, 12]]",287.776
192,"[['C', 1.3547429329428253, 0.46963, 6, 2.55, 12]]",270.697
193,"[['C', 1.3284220472125028, 0.46963, 6, 2.55, 12]]",277.553
194,"[['C', 1.355138875961923, 0.46963, 6, 2.55, 12]]",267.936
195,"[['C', 1.3552018059556141, 0.417479, 6, 2.55, 12]]",250.932
196,"[['C', 1.3523979702548365, 0.417479, 6, 2.55, 12]]",279.759
197,"[['C', 1.3536269855815484, 0.417479, 6, 2.55, 12]]",269.826
198,"[['C', 1.3443845481550933, 0.164819, 6, 2.55, 12]]",316.791
199,"[['C', 1.3481551955171376, 0.131108, 6, 2.55, 12]]",298.651
200,"[['C', 1.3476357597027164, 0.418827, 6, 2.55, 12]]",264.276
201,"[['C', 1.351026088890656, 0.418827, 6, 2.55, 12]]",277.631
202,"[['C', 1.3476965123685982, 0.418827, 6, 2.55, 12]]",264.382
203,"[['C', 1.351690530749532, 0.418783, 6, 2.55, 12]]",246.263
204,"[['C', 1.3388764907291373, 0.418783, 6, 2.55, 12]]",282.363
205,"[['C', 1.3531860956943271, 0.418783, 6, 2.55, 12]]",250.403
206,"[['C', 1.3482775939296834, 0.434278, 6, 2.55, 12]]",264.957
207,"[['C', 1.3535312621265445, 0.434278, 6, 2.55, 12]]",284.461
208,"[['C', 1.3476767153084406, 0.434278, 6, 2.55, 12]]",264.877
209,"[['C', 1.3473225316665853, 0.418827, 6, 2.55, 12]]",265.218
210,"[['C', 1.3514975294550178, 0.418827, 6, 2.55, 12]]",277.593
211,"[['C', 1.3482878615542118, 0.418827, 6, 2.55, 12]]",263.738
212,"[['C', 1.33611063743693, 0.138554, 6, 2.55, 12]]",288.048
213,"[['C', 1.348131549357085, 0.166511, 6, 2.55, 12]]",320.175
214,"[['C', 1.3429757814379417, 0.123977, 6, 2.55, 12]]",288.044
